entry_year,number
1836,1302
1837,1236
1838,1222
1839,1110
1840,1042
1841,968
1842,921
1843,940
1844,970
1845,1076
1846,1090
1847,1099
1848,1185
1849,1274
1850,1271
1851,1305
1852,1350
1853,1288
1854,1232
1855,1288
1856,1255
1857,1178
1858,1296
1859,1379
1860,1420
1861,1457
1862,1510
1863,1480
1864,1440
1865,1477
1866,1525
1867,1513
1868,1564
1869,1698
1870,1749
1871,1841
1872,1899
1873,1921
1874,2062
1875,2057
1876,2335
1877,2522
1878,2646
1879,2919
1880,3132
1881,3273
1882,3347
1883,3374
1884,3385
1885,3602
1886,3547
1887,3477
1888,3481
1889,3577
1890,3501
1891,3384
1892,3172
1893,3114
1894,2913
1895,2851
1896,2827
1897,2815
1898,2825
1899,2791
1900,2820
1901,2901
1902,2939
1903,2982
1904,3036
1905,3147
1906,3196
1907,3292
1908,3286
1909,3279
1910,3366
1911,3419
1912,3352
1913,3282
1914,2415
1915,1811
1916,1887
1917,2083
1918,3554
1919,4643
1920,4886
1921,4669
1922,4370
1923,4111
1924,3964
1925,3953
1926,4139
1927,4349
1928,4353
1929,4440
1930,4437
1931,4327
1932,4243
1933,4251
1934,3991
1935,3895
1936,3843
1937,3762
1938,3826
1939,3217
1940,3059
1941,3257
1942,3407
1943,3519
1944,3642
1945,4784
1946,5914
1947,6457
1948,6806
1949,6782
1950,6447
1951,6140
1952,5850
1953,5775
1954,5877
1955,6057
1956,6298
1957,6586
1958,7004
1959,7144
1960,7373
1961,7509
1962,7783
1963,7952
1964,8613
1965,9430
